,,,,景況感・前年比,,,,,景気判断の根拠,,,,,,,現在の景気の水準,,,,,,1年後の景況感の予想,,,,,金利水準についての見方,,,,暮らし向きの変化・前年比,,,,,暮らし向きにゆとりが出てきた理由,,,,,,,,暮らし向きにゆとりがなくなってきた理由,,,,,,,,収入の変化・前年比,,,,収入が増えた理由,,,,,,,収入が減った理由,,,,,,,1年後の収入の予想,,,,収入が増えると考えた理由,,,,,,,収入が減ると考えた理由,,,,,,,支出の変化・前年比,,,,支出が増えた理由,,,,,,,,,,,支出が減った理由,,,,,,,,支出の変化（日常的な支出）,,,,支出の変化（選択的な支出）,,,,今後1年間の支出の予想,,,,今後1年間の支出を考えるにあたって特に重視すること,,,,,,,,今後1年間、商品やサービスを選ぶ際に特に重視すること,,,,,,,,,,,,,
2020年6月,2020 June,第82回,82nd survey,0.9,26,72.1,-71.2,,35.7,16.2,29.8,37.5,25.2,9.9,,0.2,1.3,16.5,40.9,40.4,,19.3,32.9,47,-27.7,,35.2,41.4,19.6,,5,51.3,42.6,-37.6,,62,2.5,1.7,1.7,0.8,16.5,31.4,,58,15.1,3.2,43.3,9.1,6.6,21.8,,8.9,50.5,39.1,,-,-,-,-,-,-,,-,-,-,-,-,-,,8,50.7,39.3,,-,-,-,-,-,-,,-,-,-,-,-,-,,31.8,45.6,20.8,,5.7,2.2,1.4,0.3,5.6,18.6,-,23.9,59.2,26.6,,63.5,42.9,3.8,8.5,10.1,5,18.8,,15.9,52.5,29.1,,4.9,36.6,56.3,,5.8,43.3,48.8,,59.6,16.6,14.7,43.7,24.9,21,4.3,,50.5,46.3,41,31.5,38.9,10.6,6.2,0.5,2.3,13.2,4.8,15.1,2.4,0.7
2020年9月,2020 Sept.,第83回,83rd survey,0.6,22.4,76.2,-75.6,,36.2,15.8,31,36.7,31.7,5.7,,0.1,1,13.9,46.9,37.2,,14.3,43.5,40.9,-26.6,,37.6,40.7,18.3,,5.5,54.9,38.8,-33.3,,62.8,5,3.3,1.7,3.3,12.4,29.8,,62.2,12.1,3.2,42.9,6.3,6.9,18.1,,9.5,50.4,38.9,,-,-,-,-,-,-,,-,-,-,-,-,-,,8.2,53.6,36.6,,-,-,-,-,-,-,,-,-,-,-,-,-,,32.7,41.3,24.3,,9,1.2,1,0.6,6.9,20.1,-,21.3,55.8,24.4,,59,45.9,1.7,6.3,7.1,3.2,20.5,,16.4,54.3,27.6,,3.5,30.2,64.6,,4.5,48.7,45,,59.5,16.3,13.4,43.7,25.5,23.2,5.5,,48.5,46.1,39.1,34.5,39.2,10.4,6.2,0.8,2.8,14.1,3.9,16.5,1.6,0.3
2020年12月,2020 Dec.,第84回,84th survey,1.1,27.2,71.3,-70.2,,37,11.7,30.8,39.5,30.4,5.3,,0.2,1.2,18.9,52.8,26.6,,14.4,47.7,37.5,-23.1,,38.7,42.6,16.7,,4.2,56.7,38.1,-33.9,,58.9,4.2,0,1.1,5.3,11.6,30.5,,62.9,10.9,3.2,38.9,4.3,7,17.3,,7.8,50.6,41,,-,-,-,-,-,-,,-,-,-,-,-,-,,7.4,56.1,35.5,,-,-,-,-,-,-,,-,-,-,-,-,-,,29,47.5,22.3,,6.6,1.7,0.5,0,6.9,19,39.2,18.4,53.5,11.8,,60.4,43.8,1.8,6.2,7.6,4.2,19.8,,13.5,56.8,28.4,,4.1,33.6,61.1,,5.3,49.6,43.8,,59.6,15.9,13.8,43,25,22.4,4.2,,51.9,45.1,38.7,33.9,41.6,10.1,6.6,0.3,2.4,13.9,4.5,17.6,1.6,0.3
2021年3月,2021 Mar.,第85回,85th survey,1,27.6,70.4,-69.4,,34.1,12.2,29.9,40.9,31.5,4.6,,0.2,1.5,18,49.4,30.3,,23.1,44.3,31.6,-8.5,,40,39.7,17.2,,6.3,55,38,-31.7,,46.1,8.5,3.5,2.8,13.5,19.1,30.5,,66.9,12.6,3.4,33,4.9,6.8,19,,7,50.4,41.9,,-,-,-,-,-,-,,-,-,-,-,-,-,,8.8,56.1,34.3,,-,-,-,-,-,-,,-,-,-,-,-,-,,26.8,46.6,25.5,,5,1.7,1.3,1.3,4.7,19.9,38.2,16.9,45.2,18.6,,60,41,1.4,2.4,9.2,6.5,25.7,,12.5,55.3,30.4,,2.3,27.2,69.2,,5.7,47.6,44.8,,58.5,15.6,12.5,39.3,27.9,22.4,5.3,,50.8,47.6,38.6,33.4,37.2,11.1,7.1,0.6,1.8,14.9,4.9,17.6,2.1,0.4
2021年6月,2021 June,第86回,86th survey,2.2,33.4,63.8,-61.6,,34.2,11.3,31.6,42.7,28.4,4.7,,0.2,1.9,18.7,49.4,29.1,,20.4,43.6,35.3,-14.9,,38.3,41,17.2,,5.3,56.4,37.3,-32,,46,8.1,3.2,1.6,10.5,14.5,34.7,,64.1,9.4,3.8,38.7,4.2,4.8,19.7,,7.1,52,39.9,,-,-,-,-,-,-,,-,-,-,-,-,-,,7.1,57.4,34.1,,-,-,-,-,-,-,,-,-,-,-,-,-,,29.8,45.1,23.4,,6.4,0.9,1.3,0.4,5.5,19.1,40,13.9,50.4,14.7,,60,33.9,1.5,2.8,8.3,7.2,26.2,,14.4,56.1,27.5,,3.3,29.1,65.8,,4.7,49.9,43.4,,58,15.8,14.3,38.8,26.8,22.5,5.6,,51.4,44.3,40.6,32.1,38.7,13.6,6.2,0.6,2.5,12.3,4.6,16.5,1.7,0.6
2021年9月,2021 Sept.,第87回,87th survey,2.5,38.6,57.8,-55.3,,28.7,10.1,32,44.2,30.9,4.6,,0.2,1.5,21.7,51.8,23.9,,16.6,46.1,36.4,-19.8,,38.4,40.7,17.1,,6.8,55.5,36.3,-29.5,,51.3,8.7,5.3,3.3,11.3,14,26.7,,62,12.2,2.4,45,4.4,5.6,19.1,,9,50,38.9,,-,-,-,-,-,-,,-,-,-,-,-,-,,8.6,56.5,32.6,,-,-,-,-,-,-,,-,-,-,-,-,-,,27.5,45.1,24.7,,7.1,1.2,1,0.7,4.3,20.1,35,16.9,47.7,14,,60.4,38.6,2,3.1,9.2,4.8,25.5,,13.3,56,27.7,,3.3,28.2,65.9,,5.9,48.9,42.1,,56.6,18.4,13.8,38.8,25,21.2,4.4,,47.9,45.7,38.6,33.7,39.8,12.5,6.4,0.5,2.4,13.4,4.8,16.7,1.5,0.4
2021年12月,2021 Dec.,第88回,88th survey,5.2,43.2,51,-45.8,,30.4,10.3,29.2,44.1,32.6,4.5,,0.2,3.1,24.2,52.5,19.5,,26,52.5,21,5,,43.9,36.5,16.6,,5.8,53.4,40,-34.2,,47.7,7.8,2.3,3.1,7,13.3,37.5,,55.6,10,2.3,60.1,5.5,6.3,16.1,,7.4,53.5,38.3,,-,-,-,-,-,-,,-,-,-,-,-,-,,9.3,62,27.9,,-,-,-,-,-,-,,-,-,-,-,-,-,,33.7,44.4,20.9,,6.4,1.5,0.8,0.4,4.3,19.2,36.2,12.1,62.6,12.9,,60.3,43.8,1.3,4.1,9.1,4.5,23.1,,14.4,55.3,28.8,,6.4,31.1,61.5,,8.9,49.9,39.3,,53.9,16.8,12.3,50.7,26.4,22.7,4.2,,49.4,43.1,40.4,32.9,38.3,13.4,6.1,0.7,3,13.5,5.1,18.1,2,0.2
2022年3月,2022 Mar.,第89回,89th survey,3.6,38.3,57.4,-53.8,,29.4,10.2,30.5,44,31.6,4.7,,0.1,2,19.2,54.1,24.1,,15.6,50.8,32.7,-17.1,,42.8,39,15.3,,4.8,52.8,41.7,-36.9,,54.8,6.7,2.9,1.9,6.7,13.5,31.7,,56.2,10.3,2.2,68,4.6,6.7,13.1,,9,51.9,38.4,,-,-,-,-,-,-,,-,-,-,-,-,-,,9.8,56.6,32.6,,-,-,-,-,-,-,,-,-,-,-,-,-,,36,43.1,19.8,,5.9,1.4,1,1.3,5.1,19.7,28.1,13.4,70.9,11.4,,61.3,40.3,1.6,4.4,7.2,6.3,19.4,,14.1,57.1,27.6,,5.2,32.1,61.5,,5.9,49.1,43.3,,55.9,15.2,12.8,49.9,24.6,20.4,3.1,,51.7,43.8,38.1,32,40.4,11.3,6.2,0.6,2.8,13.3,4.8,17,2.1,0.4
2022年6月,2022 June,第90回,90th survey,5.3,38.2,56,-50.7,,35.2,14.6,28.2,43.4,25.6,5.6,,0.3,3.1,22,53.9,20.5,,13.5,43.8,42.2,-28.7,,48.7,34.4,14.5,,3.7,52.3,43.2,-39.5,,65.9,7.3,3.7,0,2.4,20.7,17.1,,49.7,11.9,2.3,78.9,5.8,5.6,14.4,,9,53.7,35.7,,-,-,-,-,-,-,,-,-,-,-,-,-,,8.5,56,33.3,,-,-,-,-,-,-,,-,-,-,-,-,-,,43,37.9,17,,4,1,1.3,0.5,3.4,17.3,28.4,12.3,77.5,8.4,,69.1,44.9,3.5,6.7,7,7,14.5,,17.7,51,29.2,,7.1,36.2,54.7,,7.6,47,43,,52.6,17.1,11.6,60,23,21,3.2,,52.2,43.4,39.2,30.4,42,13.5,6.7,0.7,1.7,13.8,4.4,16.3,2,0.5
2022年9月,2022 Sept.,第91回,91st survey,4.8,31.4,63.2,-58.4,,34.8,15.6,28.5,44,24.9,6.3,,0.1,2.6,20.1,50.3,26.3,,10.5,46,42.9,-32.4,,51.2,31.8,14.4,,4,44.4,50.7,-46.7,,51.9,8.6,3.7,1.2,7.4,17.3,24.7,,46.9,12.3,2.3,84.5,5.3,5.2,12,,11,48.1,40,,-,-,-,-,-,-,,-,-,-,-,-,-,,8.1,54.1,36.7,,-,-,-,-,-,-,,-,-,-,-,-,-,,48.5,34,16.4,,4.6,1,1.4,0.4,3.1,15,25.9,11.2,82.8,7.8,,68.2,51.5,1.5,6.1,12.4,8.8,12.7,,20.3,49.6,28.5,,6.7,35.4,56.5,,7.9,46.8,43.8,,53.2,18.1,11.5,65.4,22.8,19.8,2.8,,55,42.7,39.7,30.7,42,11.6,5.2,0.8,2.2,12.9,3.8,17.8,2.2,0.5
2022年12月,2022 Dec.,第92回,92nd survey,5.2,27.1,67,-61.8,,36.6,18.1,26.6,41,23,6.3,,0.1,2.7,19.3,51,26.4,,9.1,44.4,46.2,-37.1,,51.9,32.5,13.9,,3.7,42.4,53,-49.3,,57,3.8,2.5,1.3,2.5,20.3,19,,39.6,10.8,3,88.4,4.8,5.3,9.7,,8.9,51.3,39.3,,-,-,-,-,-,-,,-,-,-,-,-,-,,7.6,53.9,37.7,,-,-,-,-,-,-,,-,-,-,-,-,-,,52.7,30.1,16.2,,4.8,0.8,1.5,1.3,3.2,15.6,24.1,9,86.1,7.8,,67.2,50.1,2.3,6.2,10.6,9.4,8.2,,20.4,48.1,30.5,,8.1,37.3,53.8,,7.1,44.7,47.2,,49.8,17.2,11.5,68.3,22,21.3,3.4,,58.6,42.7,40,28.7,43.7,10.5,5.6,0.7,1.9,11.8,4.1,17.5,1.9,0.4
2023年3月,2023 Mar.,第93回,93rd survey,6.8,28.8,63.9,-57.1,,37.9,16,28.3,42.3,23.7,6.8,,0.2,3.4,17.8,50.9,27.3,,13.1,45.9,40.3,-27.2,,44.3,34.7,18.5,,3.8,39.7,56,-52.2,,60.5,6.6,2.6,0,9.2,15.8,21.1,,37.1,8.7,2.6,90.4,4.2,5.6,9.6,,11.1,52.1,36.3,,-,-,-,-,-,-,,-,-,-,-,-,-,,9.1,57.2,32.8,,-,-,-,-,-,-,,-,-,-,-,-,-,,60.2,26.1,12.7,,3.8,0.8,1.7,0.5,3.4,11.3,23.6,9.4,88.9,6.6,,70.2,51.2,3.2,6,9.9,11.5,11.1,,26,44.9,27.5,,8,35.6,55.4,,9.9,43.6,45.3,,51.1,15.1,11.7,70.2,22.7,18.8,3.5,,57.6,42.3,38.1,30.6,42,10.5,6,0.5,1.7,12.3,3.6,18.8,1.9,0.6
2023年6月,2023 June,第94回,94th survey,13.7,36.3,49.6,-35.9,,33.7,13.6,28.8,45.2,23.4,7.8,,0.7,8.3,28.3,42.8,19.1,,16.6,50.5,32.4,-15.8,,48.5,35.2,13.8,,4.1,38.3,56.8,-52.7,,60.5,11.6,2.3,0,4.7,19.8,19.8,,36.1,6.5,2.4,89.2,3,5.8,11.8,,11.4,52,34.5,,64.6,28.8,12.5,6.3,5,7.1,,23.9,29.4,21.4,21.8,38.5,13,,10.2,57,31.1,,56.9,21.8,19.4,6.5,9.3,11.6,,23.6,29.6,24.2,25,47.4,9.9,,59.4,27.1,11.9,,3.1,1.1,1,0.5,3,10.5,25.5,10.4,87.4,6.4,,66.1,43,1.2,4,10.8,10.8,9.6,,27.1,44,26.7,,10.4,40.2,47.3,,9.9,45.9,42.2,,48.8,16.7,10.7,66.2,20.9,19.7,3.7,,58.8,41.9,40.5,32,43.4,9.1,-,-,-,12.1,-,21.2,-,1.1
2023年9月,2023 Sept.,第95回,95th survey,12.5,31.9,55,-42.5,,33.6,13.9,26.6,44.4,25.1,6.8,,0.6,8.2,25,42.2,23.4,,10.5,48.2,40.6,-30.1,,46.5,34.1,16.7,,3.1,38.6,57.4,-54.3,,59.7,12.9,3.2,0,6.5,19.4,19.4,,34.5,8.6,2.6,88.7,2.6,5.1,11.7,,12.7,54.3,31.8,,69.1,17.2,12.1,5.9,5.5,6.6,,27.9,25.4,23.6,20.1,39.9,12.3,,9.1,59.5,29.6,,65.2,22.3,19.6,6.5,7.6,9.2,,25.7,28.2,27.2,26.2,44.6,11.6,,58.4,29.3,11.1,,3.5,0.8,1,1.2,2.5,12.2,22,8.7,88.5,7.5,,61.2,46.9,2.7,4,10.3,7.1,11.6,,26.1,45.8,25.7,,10.2,39.3,48.5,,10.1,48.1,40.1,,47.9,15.9,10.7,68.2,20.1,18.7,3.1,,60.6,43.8,42.1,31.7,42.2,9.4,-,-,-,14.1,-,19.1,-,0.7
2023年12月,2023 Dec.,第96回,96th survey,9.3,31.2,58.9,-49.6,,34,16.1,24.9,44.9,23,8.6,,0.6,5.6,25.2,45.6,22.7,,8.4,52.5,38.5,-30.1,,53,29.7,15.1,,4.1,38.9,56.2,-52.1,,58.8,15.3,1.2,1.2,3.5,23.5,18.8,,34.1,7.9,2,90.8,2.7,5.5,10.5,,12.7,54.6,31.7,,64.1,26,17.2,5.7,5,6.5,,21.9,33,25.8,19.9,35.6,11.8,,10.8,56.5,31.4,,63.5,23.9,19.4,5.9,5.9,8.1,,24.5,31.2,25.2,26.1,43.1,10.5,,57.8,28.9,12.1,,3.7,1,1.8,1.3,2.4,13.4,22.2,8.1,86.3,7.9,,65.6,42.4,1.2,3.6,11.2,7.2,9.6,,26.6,43.9,27.2,,9,38.9,50.4,,8.8,48,41.6,,50.6,15.3,10.8,67.4,22.3,20.5,3.3,,58.1,44.8,40.6,31.6,41.8,10.4,-,-,-,13.3,-,21.3,-,0.6
2024年3月,2024 Mar.,第97回,97th survey,10.7,42,46.8,-36.1,,29.7,14,27.6,50.4,22.8,7.1,,0.9,8.7,29.3,41.5,19.2,,13.6,55,30.8,-17.2,,51.1,33,13.7,,5.3,44.3,49.5,-44.2,,59,19,3.8,1,22.9,9.5,14.3,,35.5,7.8,3,89.4,2,5.5,11.9,,15.6,54.5,28.5,,60.5,18,11.3,7.1,5.5,12.2,,22.5,30.7,24,18.4,38.1,16,,12.3,58.8,27.3,,64.2,23.2,15.9,6.9,9.8,9.3,,24.6,30.1,27.3,25.1,43.7,11,,57.2,30.6,10.7,,4.2,0.9,1.7,1.6,4.3,13.2,25.2,10.4,84,6.7,,60.3,49.1,3.3,2.3,9.8,7,13.1,,28.4,44,25,,10.1,42,45.7,,11.1,46.9,40,,50.7,19.7,12,64.8,21.7,19.1,3.1,,58.3,44.7,42.9,31.3,42.1,8.2,-,-,-,13.4,-,21.3,-,0.6
2024年6月,2024 June,第98回,98th survey,7.7,34,57.5,-49.8,,34.5,17.9,25.3,48.7,18.6,7.7,,0.5,6.7,23.8,44.6,23.5,,7.9,50.9,40.3,-32.4,,51.7,31,14.8,,3.6,39.8,55.7,-52.1,,65.8,19.7,3.9,0,19.7,13.2,3.9,,34.2,7,2.1,91.4,2.4,5.9,11.4,,15.9,53.1,29.6,,66.5,23.4,13.9,4.7,5.6,7.4,,20.3,30.5,27,21.6,39.7,12.1,,12.2,55.4,31,,63.1,23.1,18.1,9.6,7.3,7.3,,24.6,28.7,26.7,28.4,46.3,9.4,,58.5,28.8,11.7,,3.9,1,2.7,1.5,3.1,12.2,24.7,9.6,86.6,5.9,,59.4,46.6,0.4,2.8,8.8,8.8,11.2,,27.9,43.7,25.9,,8.1,40.8,49.3,,10.9,45,42.1,,50.3,19,10.1,68.3,22.2,19.9,2.9,,59.5,46.3,40.7,28.3,41.7,8.7,-,-,-,11.6,-,21.2,-,0.8
2024年9月,2024 Sept.,第99回,99th survey,6.9,37.5,55.1,-48.2,,30.9,15.5,27.7,46.9,22.4,8.1,,0.2,7,25.7,46.2,20.3,,6.6,56.5,36.2,-29.6,,48.6,33.3,15.9,,5.3,41.3,52.7,-47.4,,66.1,18.3,2.6,1.7,11.3,15.7,16.5,,35.5,7.6,2.7,90.6,3.9,4.7,9.1,,19,51.1,28.8,,72.2,19.8,11.5,4.6,7.6,9.5,,24,32.6,26.8,17.2,35,12.4,,11.7,58.8,28.1,,65.5,22.6,11.1,6,7.5,8.3,,19.3,29.3,27.3,29.7,41.5,11.2,,56.4,30.5,11.9,,5.2,1,2.1,1.5,3.1,12.6,22.2,11.3,85.7,7.2,,62.3,45.1,2.3,3.1,9.7,6.6,11.7,,28.3,44.8,24.6,,9,42.2,47.2,,9.6,50.3,38.4,,49.4,20,11.1,67.3,21.6,18.2,3.1,,59.3,47.7,41.2,32.3,41.3,7.8,-,-,-,12.4,-,19.6,-,0.7
2024年12月,2024 Dec.,第100回,100th survey,3.9,35.9,59.8,-55.9,,32.1,14.6,28.3,46.9,20.3,9.8,,0.1,4.8,23.9,46.8,24,,5.7,51.2,42.6,-36.9,,44,33.5,20.5,,4.7,37.6,57.1,-52.4,,65.7,14.1,2,2,10.1,15.2,14.1,,33.6,7.2,2.3,89.7,2.7,4.6,12.6,,17.1,51.8,30.1,,63.7,24,12.8,4.2,6.7,8.1,,22.5,31.5,25.3,20.7,40.2,15.5,,11,57.7,29.9,,63,21.7,16.1,4.8,8.7,7.4,,22.3,29.7,26.5,29.3,50.1,13.1,,59.1,27.5,12.1,,3.6,0.7,1.9,0.8,3.3,13.8,24,8.1,87.8,6,,64.3,43.1,2.4,2.7,9.8,9.4,12.5,,27.9,42.7,27.3,,7.9,40,50.5,,9.7,45.5,43.2,,48,15.7,11.1,69.3,22.4,19.6,4.4,,60.4,44.4,40.1,31,43.8,8.5,-,-,-,12.2,-,19.2,-,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（注1）第26回（2006年6月）は、訪問留置法での調査のほか、予備調査として郵送調査も実施。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（注2）現在の景況感D.I.＝「良くなった」−「悪くなった」。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（注3）1年後の景況感D.I.＝「良くなる」−「悪くなる」。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（注4）現在の暮らし向きD.I.＝「ゆとりが出てきた」−「ゆとりがなくなってきた」。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（注5）第94回（2023年6月）より「デザインが良い」・「流行のものである」・「今までにない新しいものである」・「好奇心が刺激される」・「ブランドイメージが良い」は調査の選択肢から削除。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（注6）第93回（2023年3月）までは「この中にはない」。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Note 1) The economic conditions D.I. for the present compared with one year ago is calculated as the proportion of respondents who answered that economic conditions ""have improved"" minus the proportion of those who answered that they ""have worsened.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Note 2) The economic conditions D.I. for the outlook for one year from now is calculated as the proportion of respondents who answered that economic conditions ""will improve"" minus the proportion of those who answered that they ""will worsen.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Note 3) The household circumstances D.I. for the present compared with one year ago is calculated as the proportion of respondents who answered that their household circumstances ""have become better off"" minus the proportion of those who answered that they ""have become worse off.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Note 4) The following choices were discontinued from the 94th survey (June 2023): ""design,"" ""trend,"" ""originality/innovation,"" ""curiosity,"" and ""brand reputation.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
